hold_strength,delay,policy,seed,turns,moves,stale_conflicts,mean_phase_error,p95_phase_error,mean_extra_hold,full_board,blue_win,yellow_win
0,5,queue_aware,2026123211,49,49,0,1.1522778676283278,2.786259271327917,0.0,True,False,True
0,5,blind_delay,2026123212,97,49,48,1.299881740706454,2.854302175805227,0.0,True,True,False
0,5,queue_aware,2026123212,49,49,0,1.2255913411918962,2.6713950260491526,0.0,True,True,False
0,5,blind_delay,2026123213,97,49,48,1.2263481744929947,2.7863504646960653,0.0,True,True,False
0,5,queue_aware,2026123213,49,49,0,1.1804935344932646,2.894017167966947,0.0,True,True,False
0,5,blind_delay,2026123214,91,49,42,1.242935149448485,2.877209822301305,0.0,True,True,False
0,5,queue_aware,2026123214,49,49,0,1.1801670870594445,2.7267894765453855,0.0,True,True,False
1,0,blind_delay,2026173200,49,49,0,1.128377337970225,2.755495746927406,0.0,True,True,False
1,0,queue_aware,2026173200,49,49,0,1.128377337970225,2.755495746927406,0.0,True,True,False
1,0,blind_delay,2026173201,49,49,0,1.1713501520921,2.599470441012854,0.0,True,True,False
1,0,queue_aware,2026173201,49,49,0,1.1713501520921,2.599470441012854,0.0,True,True,False
1,0,blind_delay,2026173202,49,49,0,1.1735748055824662,2.631609291829385,0.0,True,False,True
1,0,queue_aware,2026173202,49,49,0,1.1735748055824662,2.631609291829385,0.0,True,False,True
1,0,blind_delay,2026173203,49,49,0,1.0066851252881812,2.454326102188549,0.0,True,False,True
1,0,queue_aware,2026173203,49,49,0,1.0066851252881812,2.454326102188549,0.0,True,False,True
1,0,blind_delay,2026173204,49,49,0,1.137200514839144,2.757378643375851,0.0,True,True,False
1,0,queue_aware,2026173204,49,49,0,1.137200514839144,2.757378643375851,0.0,True,True,False
1,0,blind_delay,2026173205,49,49,0,1.1226089141958844,2.6161461800121826,0.0,True,False,True
1,0,queue_aware,2026173205,49,49,0,1.1226089141958844,2.6161461800121826,0.0,True,False,True
1,0,blind_delay,2026173206,49,49,0,1.1640176505693467,2.756451328809325,0.0,True,False,True
1,0,queue_aware,2026173206,49,49,0,1.1640176505693467,2.756451328809325,0.0,True,False,True
1,0,blind_delay,2026173207,49,49,0,1.0960645637705233,2.408279344994113,0.0,True,True,False
1,0,queue_aware,2026173207,49,49,0,1.0960645637705233,2.408279344994113,0.0,True,True,False
1,0,blind_delay,2026173208,49,49,0,1.0591977815450289,2.5337142833467827,0.0,True,True,False
1,0,queue_aware,2026173208,49,49,0,1.0591977815450289,2.5337142833467827,0.0,True,True,False
1,0,blind_delay,2026173209,49,49,0,1.1493058255263628,2.501018479398137,0.0,True,True,False
1,0,queue_aware,2026173209,49,49,0,1.1493058255263628,2.501018479398137,0.0,True,True,False
1,0,blind_delay,2026173210,49,49,0,1.0265938079576484,2.4120454484266522,0.0,True,False,True
1,0,queue_aware,2026173210,49,49,0,1.0265938079576484,2.4120454484266522,0.0,True,False,True
1,0,blind_delay,2026173211,49,49,0,1.1592514049801381,2.7174030454221967,0.0,True,True,False
1,0,queue_aware,2026173211,49,49,0,1.1592514049801381,2.7174030454221967,0.0,True,True,False
1,0,blind_delay,2026173212,49,49,0,1.0969202245910037,2.281022552791462,0.0,True,False,True
1,0,queue_aware,2026173212,49,49,0,1.0969202245910037,2.281022552791462,0.0,True,False,True
1,0,blind_delay,2026173213,49,49,0,1.1750366116752653,2.8303932516131773,0.0,True,True,False
1,0,queue_aware,2026173213,49,49,0,1.1750366116752653,2.8303932516131773,0.0,True,True,False
1,0,blind_delay,2026173214,49,49,0,1.1731574051359257,2.525140898030563,0.0,True,True,False
1,0,queue_aware,2026173214,49,49,0,1.1731574051359257,2.525140898030563,0.0,True,True,False
1,1,blind_delay,2026183200,63,49,14,1.0589927268087331,2.642376719793994,0.2857142857142857,True,False,True
