delay,background_rate,policy,seed,agents,rounds,capacity_per_agent,useful_expected,useful_processed,useful_fresh,useful_stale,useful_delivery_rate,useful_fresh_rate,stale_useful_rate,background_processed,mean_useful_wait,mean_backlog,max_backlog
0,1.0,priority_deduplicating,2026173917,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1190.3777777777777,2253
0,1.0,fifo_blind,2026173918,12,180,2,4320,2900,52,2848,0.6712962962962963,0.01793103448275862,0.9820689655172414,1396,30.48896551724138,1084.4444444444443,2130
0,1.0,priority_deduplicating,2026173918,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1084.4444444444443,2130
0,1.0,fifo_blind,2026173919,12,180,2,4320,2849,42,2807,0.6594907407407408,0.014742014742014743,0.9852579852579852,1447,31.002457002457003,1131.4944444444445,2207
0,1.0,priority_deduplicating,2026173919,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1131.4944444444445,2207
0,2.0,fifo_blind,2026273900,12,180,2,4320,2116,28,2088,0.4898148148148148,0.013232514177693762,0.9867674858223062,2180,45.9640831758034,2238.927777777778,4369
0,2.0,priority_deduplicating,2026273900,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2238.927777777778,4369
0,2.0,fifo_blind,2026273901,12,180,2,4320,2161,31,2130,0.5002314814814814,0.014345210550670985,0.985654789449329,2135,44.391485423415084,2183.1666666666665,4345
0,2.0,priority_deduplicating,2026273901,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2183.1666666666665,4345
0,2.0,fifo_blind,2026273902,12,180,2,4320,2199,29,2170,0.5090277777777777,0.01318781264211005,0.98681218735789,2097,44.441109595270575,2159.3944444444446,4384
0,2.0,priority_deduplicating,2026273902,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2159.3944444444446,4384
0,2.0,fifo_blind,2026273903,12,180,2,4320,2173,28,2145,0.5030092592592592,0.012885411872986655,0.9871145881270134,2123,44.57109986194202,2168.9444444444443,4350
0,2.0,priority_deduplicating,2026273903,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2168.9444444444443,4350
0,2.0,fifo_blind,2026273904,12,180,2,4320,2139,32,2107,0.4951388888888889,0.014960261804581581,0.9850397381954185,2157,45.277232351566155,2231.3444444444444,4400
0,2.0,priority_deduplicating,2026273904,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2231.3444444444444,4400
0,2.0,fifo_blind,2026273905,12,180,2,4320,2178,39,2139,0.5041666666666667,0.01790633608815427,0.9820936639118457,2118,42.554178145087235,2135.761111111111,4292
0,2.0,priority_deduplicating,2026273905,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2135.761111111111,4292
0,2.0,fifo_blind,2026273906,12,180,2,4320,2147,32,2115,0.49699074074074073,0.014904517931998137,0.9850954820680019,2149,45.179785747554725,2231.261111111111,4468
0,2.0,priority_deduplicating,2026273906,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2231.261111111111,4468
0,2.0,fifo_blind,2026273907,12,180,2,4320,2143,33,2110,0.4960648148148148,0.015398973401773215,0.9846010265982268,2153,45.5095660289314,2216.9777777777776,4376
0,2.0,priority_deduplicating,2026273907,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2216.9777777777776,4376
0,2.0,fifo_blind,2026273908,12,180,2,4320,2162,28,2134,0.500462962962963,0.012950971322849213,0.9870490286771508,2134,44.89870490286771,2181.7833333333333,4331
0,2.0,priority_deduplicating,2026273908,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2181.7833333333333,4331
0,2.0,fifo_blind,2026273909,12,180,2,4320,2095,28,2067,0.4849537037037037,0.013365155131264916,0.9866348448687351,2201,46.83007159904535,2286.266666666667,4442
0,2.0,priority_deduplicating,2026273909,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2286.266666666667,4442
0,2.0,fifo_blind,2026273910,12,180,2,4320,2133,34,2099,0.49375,0.015939990623534926,0.9840600093764651,2163,45.58227848101266,2189.7,4251
0,2.0,priority_deduplicating,2026273910,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2189.7,4251
0,2.0,fifo_blind,2026273911,12,180,2,4320,2177,35,2142,0.5039351851851852,0.01607717041800643,0.9839228295819936,2119,44.14745062011943,2154.2055555555557,4328
0,2.0,priority_deduplicating,2026273911,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,2154.2055555555557,4328
0,2.0,fifo_blind,2026273912,12,180,2,4320,2178,32,2146,0.5041666666666667,0.014692378328741965,0.9853076216712581,2118,44.910927456382005,2160.3888888888887,4297
