topology,delay,policy,seed,agents,rounds,mean_spectral_edge,mean_loop_residual,mean_receipt_age,mean_disagreement
random_4_regular,1,queue_aware,2026183805,24,120,0.0,0.23529411764705888,0.0,0.08302796741671635
random_4_regular,1,blind_delay,2026183806,24,120,0.0,0.23529411764705888,0.0,0.06833200425389149
random_4_regular,1,queue_aware,2026183806,24,120,0.0,0.23529411764705888,0.0,0.06833200425389149
random_4_regular,1,blind_delay,2026183807,24,120,0.0,0.23529411764705888,0.0,0.0926667867573074
random_4_regular,1,queue_aware,2026183807,24,120,0.0,0.23529411764705888,0.0,0.0926667867573074
random_4_regular,1,blind_delay,2026183808,24,120,0.0,0.23529411764705888,0.0,0.08922976893148515
random_4_regular,1,queue_aware,2026183808,24,120,0.0,0.23529411764705888,0.0,0.08922976893148515
random_4_regular,1,blind_delay,2026183809,24,120,0.0,0.23529411764705888,0.0,0.07363040441882654
random_4_regular,1,queue_aware,2026183809,24,120,0.0,0.23529411764705888,0.0,0.07363040441882654
random_4_regular,1,blind_delay,2026183810,24,120,0.0,0.23529411764705888,0.0,0.08226418770765746
random_4_regular,1,queue_aware,2026183810,24,120,0.0,0.23529411764705888,0.0,0.08226418770765746
random_4_regular,1,blind_delay,2026183811,24,120,0.0,0.23529411764705888,0.0,0.0806177266606604
random_4_regular,1,queue_aware,2026183811,24,120,0.0,0.23529411764705888,0.0,0.0806177266606604
random_4_regular,1,blind_delay,2026183812,24,120,0.0,0.23529411764705888,0.0,0.109377495714009
random_4_regular,1,queue_aware,2026183812,24,120,0.0,0.23529411764705888,0.0,0.109377495714009
random_4_regular,1,blind_delay,2026183813,24,120,0.0,0.23529411764705888,0.0,0.07178648492132782
random_4_regular,1,queue_aware,2026183813,24,120,0.0,0.23529411764705888,0.0,0.07178648492132782
random_4_regular,1,blind_delay,2026183814,24,120,0.0,0.23529411764705888,0.0,0.10257236244358946
random_4_regular,1,queue_aware,2026183814,24,120,0.0,0.23529411764705888,0.0,0.10257236244358946
random_4_regular,2,blind_delay,2026193800,24,120,1.6476077690650124,0.03631952369399945,0.9916666666666667,0.07251172888530787
random_4_regular,2,queue_aware,2026193800,24,120,0.0,0.23529411764705888,0.0,0.0746443770411986
random_4_regular,2,blind_delay,2026193801,24,120,1.707937375895844,0.017195466569406723,0.9916666666666667,0.08187382581042366
random_4_regular,2,queue_aware,2026193801,24,120,0.0,0.23529411764705888,0.0,0.08709660870179706
random_4_regular,2,blind_delay,2026193802,24,120,1.8171092049916264,0.0131774837001489,0.9916666666666667,0.08612099023955552
random_4_regular,2,queue_aware,2026193802,24,120,0.0,0.23529411764705888,0.0,0.09307068423200221
random_4_regular,2,blind_delay,2026193803,24,120,1.605575813046616,0.04283168212339502,0.9916666666666667,0.08537432713686081
random_4_regular,2,queue_aware,2026193803,24,120,0.0,0.23529411764705888,0.0,0.0883642034895843
random_4_regular,2,blind_delay,2026193804,24,120,1.6963973690928753,0.011898081945218875,0.9916666666666667,0.09046649088423114
random_4_regular,2,queue_aware,2026193804,24,120,0.0,0.23529411764705888,0.0,0.0976543810966559
random_4_regular,2,blind_delay,2026193805,24,120,1.6133087441924165,0.04663388647948712,0.9916666666666667,0.0817499320301383
random_4_regular,2,queue_aware,2026193805,24,120,0.0,0.23529411764705888,0.0,0.08298740877500779
random_4_regular,2,blind_delay,2026193806,24,120,1.894227826020873,0.06600477988816428,0.9916666666666667,0.09176572769376244
random_4_regular,2,queue_aware,2026193806,24,120,0.0,0.23529411764705888,0.0,0.10307555463238358
random_4_regular,2,blind_delay,2026193807,24,120,1.6471126993723155,0.03392219714485611,0.9916666666666667,0.09178484307969068
random_4_regular,2,queue_aware,2026193807,24,120,0.0,0.23529411764705888,0.0,0.09804331385540184
random_4_regular,2,blind_delay,2026193808,24,120,1.6840212887837467,0.022731078320316792,0.9916666666666667,0.09030301778270422
