delay,policy,seed,agents,rounds,mean_spectral_edge,p95_spectral_edge,mean_abs_spectral_edge,mean_loop_residual,p95_loop_residual,mean_resolvent_norm,mean_single_entry_delta_m,mean_stability_proxy,mean_delta_to_proxy_ratio,mean_derivative_relative_error,mean_receipt_age,mean_disagreement,max_disagreement,spectral_edge_exceedance_rate,state_overshoot_count,high_age_tail,high_loop_tail,high_disagreement_tail
3,queue_aware,2026103600,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.34445528718629187,0.5648522213556928,0.0,0,0,1,0
3,blind_delay,2026103601,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2454871644087057,0.5505821085121011,0.0,0,0,0,0
3,queue_aware,2026103601,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3702890923769497,0.8231130174107194,0.0,0,0,1,1
3,blind_delay,2026103602,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.23084826028763492,0.493578382501763,0.0,0,0,0,0
3,queue_aware,2026103602,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35524158878143913,0.7289249652106741,0.0,0,0,1,0
3,blind_delay,2026103603,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2400535144473242,0.5385639955127434,0.0,0,0,0,0
3,queue_aware,2026103603,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.37020900785424954,0.8095336787638882,0.0,0,0,1,0
3,blind_delay,2026103604,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.23816117221628422,0.5296027022336433,0.0,0,0,0,0
3,queue_aware,2026103604,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3691427969003022,0.7952879201880091,0.0,0,0,1,0
3,blind_delay,2026103605,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.22835475697369256,0.44751539677770474,0.0,0,0,0,0
3,queue_aware,2026103605,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3576796760582746,0.6465420945162119,0.0,0,0,1,0
3,blind_delay,2026103606,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.22882670083189793,0.4961023584519112,0.0,0,0,0,0
3,queue_aware,2026103606,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3551956439301986,0.7406479252729617,0.0,0,0,1,0
3,blind_delay,2026103607,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.22902262505864926,0.49584882825444837,0.0,0,0,0,0
