delay,policy,seed,agents,rounds,cooperation_rate,mean_payoff_per_action,stale_retaliations,forgiving_actions,defection_bursts
3,queue_aware_forgiving,2026103530,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103531,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103531,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103532,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103532,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103533,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103533,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103534,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103534,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103535,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103535,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103536,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103536,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103537,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103537,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103538,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103538,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103539,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103539,12,200,1.0,3.0,0,72,0
5,blind_tft,2026123500,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123500,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123501,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123501,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123502,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123502,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123503,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123503,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123504,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123504,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123505,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123505,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123506,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123506,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123507,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123507,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123508,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123508,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123509,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123509,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123510,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123510,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123511,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123511,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123512,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123512,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123513,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123513,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123514,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123514,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123515,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123515,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123516,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123516,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123517,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123517,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123518,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123518,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123519,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123519,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123520,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123520,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123521,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123521,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123522,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123522,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123523,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123523,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123524,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123524,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123525,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123525,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123526,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123526,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123527,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123527,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123528,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123528,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123529,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123529,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123530,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123530,12,200,1.0,3.0,0,120,0
