policy,step,helicopter,pad,x,y,z,phase,clearance_issued,clearance_delivered,message_age,slot_start,slot_end,clearance_version,decision,accepted,stale_rejected,conflict_step
delay_blind,17,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,17,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,18,0,0,7.827003220674198,6.775771958754672,6.422969665907274,approach,10,11,8,12,24,1,accept_clearance,1,0,0
delay_blind,18,1,1,12.611378924768623,9.939258963755881,7.605742416476819,approach,12,17,6,14,26,2,accept_clearance,1,0,0
delay_blind,18,2,2,6.14263753053759,16.2295018463737,7.0143560411920465,approach,14,14,4,16,28,3,accept_clearance,1,0,0
delay_blind,18,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,18,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,18,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,18,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,18,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,19,0,0,7.692837012107698,6.748575121852093,6.225840874145684,approach,10,11,9,12,24,1,accept_clearance,1,0,0
delay_blind,19,1,1,12.535740156685799,9.82515806007178,7.408613624715228,approach,12,17,7,14,26,2,accept_clearance,1,0,0
delay_blind,19,2,2,6.16983436744017,16.0953356378072,6.817227249430456,approach,14,14,5,16,28,3,accept_clearance,1,0,0
delay_blind,19,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,19,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,19,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,19,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,19,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,20,0,0,7.558670803541197,6.721378284949513,6.028712082384093,approach,10,11,10,12,24,1,accept_clearance,1,0,0
delay_blind,20,1,1,12.460101388602975,9.71105715638768,7.211484832953637,approach,12,17,8,14,26,2,accept_clearance,1,0,0
delay_blind,20,2,2,6.197031204342749,15.961169429240698,6.620098457668865,approach,14,14,6,16,28,3,accept_clearance,1,0,0
delay_blind,20,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,20,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,20,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,20,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,20,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,21,0,0,7.424504594974697,6.694181448046934,5.831583290622502,approach,10,11,11,12,24,1,accept_clearance,1,0,0
delay_blind,21,1,1,12.384462620520152,9.59695625270358,7.0143560411920465,approach,12,17,9,14,26,2,accept_clearance,1,0,0
delay_blind,21,2,2,6.224228041245328,15.827003220674197,6.422969665907274,approach,14,14,7,16,28,3,accept_clearance,1,0,0
delay_blind,21,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,21,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,21,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,21,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,21,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,22,0,0,7.290338386408196,6.666984611144355,5.6344544988609115,approach,10,11,12,12,24,1,accept_clearance,1,0,0
delay_blind,22,1,1,12.308823852437328,9.482855349019479,6.817227249430456,approach,12,17,10,14,26,2,accept_clearance,1,0,0
delay_blind,22,2,2,6.251424878147907,15.692837012107695,6.225840874145684,approach,14,14,8,16,28,3,accept_clearance,1,0,0
delay_blind,22,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,22,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,22,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,22,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,22,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,23,0,0,7.156172177841696,6.639787774241776,5.437325707099321,approach,10,11,13,12,24,1,accept_clearance,1,0,0
delay_blind,23,1,1,12.233185084354504,9.368754445335378,6.620098457668865,approach,12,17,11,14,26,2,accept_clearance,1,0,0
delay_blind,23,2,2,6.278621715050487,15.558670803541194,6.028712082384093,approach,14,14,9,16,28,3,accept_clearance,1,0,0
delay_blind,23,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,23,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,23,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,23,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
