policy,step,active_nodes,edge_count,mean_degree,max_degree,network_density,components,largest_component,algebraic_connectivity,triangles
queue_aware,76,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,77,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,78,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,79,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,80,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,81,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,82,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,83,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,84,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,85,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,86,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,87,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,88,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,89,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,90,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,91,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,92,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,93,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,94,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,95,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,96,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,97,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,98,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,99,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,100,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,101,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,102,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,103,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,104,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,105,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,106,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,107,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,108,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,109,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,110,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,111,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,112,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,113,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,114,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,115,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,116,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,117,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,118,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,119,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,120,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,121,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,122,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,123,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,124,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,125,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,126,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,127,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,128,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,129,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,130,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,131,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,132,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,133,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,134,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,135,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,136,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,137,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,138,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,139,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
